name,address,city,zip,lat,lon,id,geog
United Parcel Service,1735 S Turner Ave,Ontario,91761,34.042311,-117.584572,7037,0101000020E6100000118AADA069655DC06AA164726A054140
Clean Energy - City of Tulare,3989 S K St,Tulare,93274,36.169487,-119.338155,7041,0101000020E6100000A67EDE54A4D55DC06F0C01C0B1154240
Oklahoma Natural Gas - Broken Arrow Service Center,2421 S 1st Pl,Broken Arrow,74012,36.023112,-95.786303,7108,0101000020E6100000CA6FD1C952F257C094128255F5024240
Norwich Public Utilities,157 N Main St,Norwich,6360,41.527246,-72.064419,7119,0101000020E61000006D8FDE701F0452C0317903CC7CC34440
Clean Energy - Cockrell Hill,2005 S Cockrell Hill Rd,Dallas,75211,32.723948,-96.893853,12767,0101000020E61000009D9B36E3343958C09700FC53AA5C4040
Oklahoma Natural Gas - Norman Service Center,605 N Berry Rd,Norman,73069,35.225601,-97.458827,12781,0101000020E610000065E1EB6B5D5D58C0F2785A7EE09C4140
Oklahoma Natural Gas - Pauls Valley Service Center,1701 W Airline Rd,Pauls Valley,73075,34.707522,-97.242035,12783,0101000020E6100000315F5E807D4F58C0AA99B514905A4140
Oklahoma Natural Gas - CNG Maintenance Facility,1028 N Preston,Davenport,74026,35.7140876,-96.7681766,12784,0101000020E61000005CA32FCE293158C0543DF43867DB4140
Oklahoma Natural Gas - Sapulpa Service Center,410 S Hawthorne St,Sapulpa,74066,35.993424,-96.127984,12786,0101000020E6100000529ACDE3300858C0DF87838428FF4140
City of Victorville,14201 McArt Rd,Victorville,92392,34.508713,-117.332343,12799,0101000020E61000007D03931B45555DC06806F1811D414140
Fountain Valley - Orange County Sanitation District,10844 Ellis Ave,Fountain Valley,92708,33.691565,-117.939438,12826,0101000020E6100000A8A78FC01F7C5DC07407B13385D84040
Whittier Union High School District,13200 Mulberry Dr,Whittier,90602,33.954901,-118.045014,12832,0101000020E61000002D776682E1825DC077F52A323AFA4040
SoCalGas - Santa Barbara Base,219 N Quarantina St,Santa Barbara,93103,34.421443,-119.684178,12839,0101000020E610000022A98592C9EB5DC066101FD8F1354140
Kings Canyon Unified School District,1600 S Apple Ave,Reedley,93654,36.590599,-119.4258,12840,0101000020E6100000C1A8A44E40DB5DC070067FBF984B4240
City of Delano,725 S Lexington St,Delano,93215,35.75191,-119.240762,12841,0101000020E6100000A70705A568CF5DC087C43D963EE04140
DTE Energy - Coolidge,14270 Schaefer Hwy,Detroit,48227,42.392613,-83.177738,12847,0101000020E61000006A50340F60CB54C0027E8D2441324540
Rogue Valley Transportation District,3200 Crater Lake Ave,Medford,97504,42.36317,-122.85563,18888,0101000020E61000007FDE54A4C2B65EC0B471C45A7C2E4540
Alternative Vehicle Service Group - Tewksbury,20 Main St,Tewksbury,1876,42.629512,-71.270846,18892,0101000020E61000002810768A55D151C0433866D993504540
Alternative Vehicle Service Group - Lexington,Route 128 N,Lexington,2421,42.446147,-71.255103,18893,0101000020E61000002387889B53D051C0B11A4B581B394540
Clean Energy - Riverhead - National Grid,117 Doctors Path,Riverhead,11901,40.940028,-72.652774,18898,0101000020E6100000766B990CC72952C082A966D652784440
Clean Energy - Hewlett - National Grid,455 Mill Rd,Valley Stream,11581,40.648881,-73.707638,18900,0101000020E61000000ADAE4F0496D52C076FF58880E534440
Clean Energy - Seal Beach,3101 N Gate Rd,Seal Beach,90740,33.773004,-118.077029,18929,0101000020E6100000FDF50A0BEE845DC0AED689CBF1E24040
City of Victorville,16690 D St,Victorville,92395,34.53939073,-117.2961996,18943,0101000020E6100000A6C52AEFF4525DC0CB8E64C10A454140
Gas Technology Institute,1700 S Mount Prospect Rd,Des Plaines,60018,42.018189,-87.922158,19143,0101000020E6100000AAEFFCA204FB55C0CF12640454024540
Clean Energy - University of New Mexico,1140 University Blvd NE,Albuquerque,87102,35.095006,-106.6241186,20888,0101000020E6100000D2F4238FF1A75AC03E761728298C4140
Alternative Vehicle Service Group - Middleborough,12 Harding St Route 44,Middleborough,2346,41.901602,-70.975499,20905,0101000020E6100000F7915B936EBE51C00C01C0B167F34440
DTE Energy - Lynch,11043 French Rd,Detroit,48234,42.408541,-83.010061,20914,0101000020E6100000C37DE4D6A4C054C09E094D124B344540
Oklahoma Natural Gas - Guthrie Service Center,205 Sigma Pl,Guthrie,73044,35.858586,-97.425416,20916,0101000020E61000007DCC07043A5B58C0D8666325E6ED4140
Oklahoma Natural Gas - Mustang Service Center,680 E State Highway 152,Mustang,73064,35.391472,-97.711691,20917,0101000020E6100000E27668588C6D58C05DA626C11BB24140
Oklahoma Natural Gas - Clinton Service Center,500 W Commerce,Clinton,73601,35.479669,-98.983451,20918,0101000020E6100000FC8D76DCF0BE58C0D8F335CB65BD4140
Oklahoma Natural Gas - Bartlesville Service Center,3601 NE Indiana St,Bartlesville,74006,36.764066,-95.936657,20920,0101000020E610000072A43330F2FB57C026FE28EACC614240
Oklahoma Natural Gas - Claremore Service Center,1449 SW Country Club Rd,Claremore,74017,36.292974,-95.628285,20921,0101000020E610000050E449D235E857C0064A0A2C80254240
Oklahoma Natural Gas - Miami Service Center,11 S Treaty Rd,Miami,74354,36.874317,-94.841332,20922,0101000020E610000002452C62D8B557C01DAB949EE96F4240
United Parcel Service,1825 W McKinley Ave,Fresno,93728,36.764688,-119.832131,20923,0101000020E610000038BF61A241F55DC063D2DF4BE1614240
