stations1,name,ZIP1,lat1,lon1,geom1
Los Angeles International Airport,FirstElement - Hollywood Blvd,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Lincoln Blvd,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Mill Valley,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Thousand Oaks,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Del Mar,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - San Jose,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Santa Barbara,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Saratoga,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - South Pasadena,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - South San Francisco,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,FirstElement - Truckee,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Air Products and Chemicals Inc - Lawndale,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Iwatani - San Ramon,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Iwatani - Mountain View,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Iwatani - San Juan Capistrano,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Air Products and Chemicals Inc - Santa Monica,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Air Products and Chemicals Inc - Woodland Hills,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,Ramos Oil Co - Iwatani - Shell,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
Los Angeles International Airport,SERVCO,90045,33.941383,-118.377866,0101000020E61000005401F73C7FF840404D11E0F42E985DC0
