source,target,cost
61981,64018,621.84
61981,88307,616.01
61981,88308,629.4
61981,88310,615.84
61981,88315,599.96
61981,88318,632.7
61981,88320,645.57
61981,121860,602.92
61981,122225,637.34
61981,153941,69.03
61981,153942,62.31
61982,61983,656.01
61982,61985,90.15
61982,61986,537.7
61982,61987,92.29
61982,61988,639.57
61982,61989,37.13
61982,61990,300.61
61982,62002,647.3
61982,62011,76.33
61982,62013,76.8
61982,62015,49.14
61982,62018,632.13
61982,62022,626.43
61982,64018,141.29
61982,88307,21.49
61982,88308,25.07
61982,88310,19.78
61982,88315,40.72
61982,88318,155.6
61982,88320,163.72
61982,121860,35.94
61982,153941,681.47
61982,153942,693
61983,61984,234.92
61983,61985,560.59
61983,61986,96.43
61983,61987,562.79
61983,61988,71.82
61983,61989,623.92
61983,61990,795.19
61983,62002,71.47
61983,62011,584.06
61983,62013,577.77
61983,62015,605.23
61983,62017,153.73
61983,62018,53.87
61983,62022,24.26
61983,64018,634.57
61983,88307,628.74
61983,88308,636.15
61983,88310,628.58
61983,88315,612.69
61983,88318,645.43
61983,88320,658.3
61983,121860,615.66
61983,122225,676.87
61983,153941,114.32
61983,153942,121.31
61984,61986,330.01
61984,61988,175.2
61984,62002,163.74
61984,62017,81.67
61984,62018,185.26
61984,62022,211.66
61984,122225,594.07
61984,153941,146.85
61984,153942,116.07
61985,61986,445.47
61985,61987,16.12
61985,61988,555.01
61985,61989,55.95
61985,61990,340.86
61985,62002,562.74
61985,62011,53.32
61985,62013,14.38
61985,62015,54.61
61985,62017,640.86
61985,62018,547.57
61985,62022,541.87
61985,64018,181.53
61985,88307,72.3
61985,88308,69.2
61985,88310,72.37
61985,88315,62.88
61985,88318,195.85
61985,88320,203.97
61985,121860,67.8
61985,153941,596.91
61985,153942,608.44
61986,61987,447.43
61986,61988,187.31
61986,61989,508.56
61986,61990,776.95
61986,62002,166.77
61986,62011,494.46
61986,62013,462.41
61986,62015,497.22
61986,62017,249.03
61986,62018,151.59
61986,62022,119.56
61986,64018,616.33
61986,88307,524.91
61986,88308,520.79
61986,88310,524.97
61986,88315,505.49
61986,88318,627.19
61986,88320,640.06
61986,121860,510.41
61986,153941,229.21
61986,153942,216.61
61987,61988,557.4
61987,61989,63.32
61987,61990,354.42
61987,62002,565.13
61987,62011,66.89
61987,62013,17.17
61987,62015,68.17
61987,62017,643.25
61987,62018,549.95
61987,62022,544.25
61987,64018,195.1
61987,88307,79.67
61987,88308,75.55
61987,88310,79.73
61987,88315,76.44
61987,88318,209.42
61987,88320,217.53
61987,121860,92.55
61987,153941,599.3
61987,153942,610.83
61988,61989,618.42
61988,61990,783.71
61988,62002,42.03
61988,62011,572.58
61988,62013,572.27
61988,62015,593.75
61988,62017,94.28
61988,62018,35.12
61988,62022,48.74
61988,64018,623.09
61988,88307,617.26
61988,88308,630.65
61988,88310,617.09
61988,88315,601.21
61988,88318,633.95
61988,88320,646.82
61988,121860,604.17
61988,122225,605.16
61988,153941,43.61
61988,153942,61.86
